Network,Station,Start,End
SSP,T06,2005-10-07,2006-10-30
SSP,T07,2005-10-08,2006-10-31
SSP,T08,2005-10-08,2006-07-16
SSP,T09,2005-10-07,2006-10-30
SSP,T11,2005-10-18,2006-11-07
SSP,T12,2005-10-22,2006-11-11
SSP,T13,2005-10-23,2006-11-08
SSP,T15,2005-10-22,2006-11-16
SSP,T17,2005-10-21,2006-11-17
SSP,T18,2005-10-21,2006-11-15
SSP,T19,2005-10-19,2006-11-13
SSP,T21,2005-10-20,2006-10-19
SSP,T01,2006-11-04,2007-11-04
SSP,T02,2006-11-04,2007-11-03
SSP,T03,2006-11-02,2007-11-01
SSP,T05,2006-11-03,2007-11-02
SSP,T06,2006-11-01,2007-10-31
SSP,T07,2006-11-02,2007-09-16
SSP,T08,2006-11-11,2007-11-10
SSP,T09,2006-11-01,2007-10-30
SSP,T11,2006-11-08,2007-11-08
SSP,T12,2006-11-12,2007-11-11
SSP,T13,2006-11-10,2007-11-09
SSP,T02,2007-11-07,2008-11-06
SSP,T03,2007-11-05,2008-11-04
SSP,T05,2007-11-06,2008-11-05
SSP,T06,2007-11-03,2008-11-02
SSP,T07,2007-11-04,2008-11-03
SSP,T09,2007-11-03,2008-11-02
SSP,T13,2007-11-15,2008-11-14
SSP,T15,2007-11-18,2008-11-17
SSP,T16,2007-11-23,2008-11-15
SSP,T18,2007-11-19,2008-11-18
NM,NM01,2010-06-16,2011-06-25
NM,NM02,2010-06-20,2011-06-24
NM,NM03,2010-06-15,2011-06-24
NM,NM04,2010-06-21,2011-06-25
NM,NM05,2010-06-21,2011-06-25
NM,NM01,2012-08-21,2013-08-21
NM,NM02,2012-08-24,2014-08-20
NM,NM03,2012-08-24,2014-08-24
NM,NM04,2012-08-20,2013-08-21
NM,NM05,2012-08-21,2013-08-22
NM,NM12,2012-08-26,2013-08-27
NM,NM14,2012-09-01,2013-08-22
NM,NM15,2012-08-26,2014-08-26
NM,NM16,2012-08-11,2014-08-28
NM,NM17,2012-08-28,2013-08-29
NM,NM18,2011-11-22,2013-07-01
NM,NM19,2011-11-21,2013-07-01
NM,NM20,2011-11-23,2013-07-01
NM,NM21,2011-11-21,2013-07-01
NM,NM22,2011-11-24,2013-07-01
NM,NM23,2011-11-23,2013-07-01
NM,NM24,2011-11-23,2013-04-20
NM,NM25,2011-11-23,2013-07-01
NM,NM01,2013-08-24,2014-06-10
NM,NM04,2013-08-24,2014-06-10
NM,NM05,2013-08-25,2014-06-08
NM,NM12,2013-08-27,2014-06-05
NM,NM14,2013-08-23,2014-09-01
NM,NM17,2013-08-29,2014-09-26
NM,NM20,2013-09-03,2014-09-24
NM,NM22,2013-09-01,2014-09-26
NM,NM23,2013-09-02,2014-09-26
NM,NM24,2013-09-01,2014-09-27
NM,NM25,2013-09-02,2014-09-27
TIARES,SOC1,2009-02-07,2010-07-01
TIARES,SOC2,2009-02-08,2010-06-29
TIARES,SOC3,2009-02-09,2010-06-30
TIARES,SOC4,2009-02-09,2010-07-01
TIARES,SOC5,2009-02-10,2010-06-30
TIARES,SOC6,2009-02-12,2010-07-01
TIARES,SOC7,2009-02-11,2010-07-01
TIARES,SOC8,2009-02-12,2010-07-01
TIARES,SOC9,2009-02-13,2010-07-01
