Network,Station,Start,End
SSP,T01,2006-11-04,2007-11-04
SSP,T02,2006-11-04,2007-11-03
SSP,T03,2006-11-02,2007-11-01
SSP,T05,2006-11-03,2007-11-02
SSP,T06,2006-11-01,2007-10-31
SSP,T07,2006-11-02,2007-09-16
SSP,T08,2006-11-11,2007-11-10
SSP,T09,2006-11-01,2007-10-30
SSP,T11,2006-11-08,2007-11-08
SSP,T12,2006-11-12,2007-11-11
SSP,T13,2006-11-10,2007-11-09
SSP,T02,2007-11-07,2008-11-06
SSP,T03,2007-11-05,2008-11-04
SSP,T05,2007-11-06,2008-11-05
SSP,T06,2007-11-03,2008-11-02
SSP,T07,2007-11-04,2008-11-03
SSP,T09,2007-11-03,2008-11-02
SSP,T13,2007-11-15,2008-11-14
SSP,T15,2007-11-18,2008-11-17
SSP,T16,2007-11-23,2008-11-15
SSP,T18,2007-11-19,2008-11-18
